Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Kjeld Nuis,61,0.061,0.432
Tim Prins,7,0.007,0.141
Joep Wennemars,2,0.002,0.028
Wesly Dijs,0,0.0,0.0
Tijmen Snel,0,0.0,0.016
Serge Yoro,0,0.0,0.0
Albertus (Bart) Hoolwerf,0,0.0,0.0
