Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Joy Beune,197,0.197,0.869
Merel Conijn,106,0.106,0.477
Marijke Groenewoud,15,0.015,0.197
Sanne In 't Hof,0,0.0,0.0
Bente Kerkhoff,0,0.0,0.0
Melissa Wijfje,0,0.0,0.001
Elisa Dul,0,0.0,0.0
