Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Jenning de Boo,169,0.169,0.774
Joep Wennemars,12,0.012,0.195
Kjeld Nuis,7,0.007,0.153
Tim Prins,5,0.005,0.255
Kai Verbij,0,0.0,0.0
Sijmen Egberts,0,0.0,0.0
Ties van Seumeren,0,0.0,0.0
Nathan Pijl,0,0.0,0.0
Albertus (Bart) Hoolwerf,0,0.0,0.0
Sebastian Diniz,0,0.0,0.0
Janno Botman,0,0.0,0.0
Wesly Dijs,0,0.0,0.0
Mats Siemons,0,0.0,0.0
Louis Hollaar,0,0.0,0.0
Tijmen Snel,0,0.0,0.0
Kayo Vos,0,0.0,0.002
Merijn Scheperkamp,0,0.0,0.003
Serge Yoro,0,0.0,0.003
Arjen Boersma,0,0.0,0.0
