Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Kjeld Nuis,0.9522,0.0612,0.4474
Tim Prins,0.9236,0.0068,0.132
Wesly Dijs,0.3582,0.0,0.0005
Tijmen Snel,0.3099,0.0001,0.0047
Joep Wennemars,0.326,0.0014,0.0091
Serge Yoro,0.0987,0.0,0.0
Albertus (Bart) Hoolwerf,0.0314,0.0,0.0
