Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Marijke Groenewoud,0.8985,0.2122,0.4443
Elisa Dul,0.8565,0.004,0.0428
Bente Kerkhoff,0.8424,0.0,0.0
Melissa Wijfje,0.4026,0.0,0.0005
