Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Jenning de Boo,1.0,0.2393,0.5771
Sebastian Diniz,0.7138,0.0059,0.059
Janno Botman,0.5335,0.0001,0.0024
Merijn Scheperkamp,0.4123,0.0005,0.0075
Stefan Westenbroek,0.2477,0.0,0.0
Joep Wennemars,0.0479,0.0,0.0
Mats van den Bos,0.0075,0.0,0.0
Dai Dai Ntab,0.0314,0.0,0.0
Serge Yoro,0.0059,0.0,0.0
