Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Marijke Groenewoud,243,0.243,0.515
Elisa Dul,6,0.006,0.056
Bente Kerkhoff,0,0.0,0.0
Melissa Wijfje,0,0.0,0.0
