Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Jenning de Boo,243,0.243,0.573
Sebastian Diniz,9,0.009,0.093
Merijn Scheperkamp,1,0.001,0.015
Janno Botman,0,0.0,0.005
Stefan Westenbroek,0,0.0,0.0
Joep Wennemars,0,0.0,0.0
Mats van den Bos,0,0.0,0.0
Dai Dai Ntab,0,0.0,0.001
Serge Yoro,0,0.0,0.0
