Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Chris Huizinga,0.8034,0.2355,0.4974
Beau Snellink,0.7547,0.0145,0.1525
Jorrit Bergsma,0.3183,0.0001,0.0021
Marcel Bosker,0.3511,0.0003,0.0107
Wisse Slendebroek,0.1943,0.0,0.0005
Kars Jansman,0.1766,0.0,0.0007
Tjerk de Boer,0.1248,0.0,0.0001
Marwin Talsma,0.0623,0.0,0.0001
Albertus (Bart) Hoolwerf,0.0845,0.0,0.0
Remco Stam,0.0479,0.0,0.0
Jasper Krommenhoek,0.0409,0.0,0.0
Daan Gelling,0.029,0.0,0.0
Patrick Roest,0.0052,0.0,0.0
Ede-Konrad Kortlever,0.0047,0.0,0.0
Thijs Wiersma,0.0018,0.0,0.0
Mats Bendijk,0.0005,0.0,0.0
Chris Brommersma,0.0,0.0,0.0
