Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Jutta Leerdam,0.8538,0.2018,0.646
Femke Kok,0.9531,0.1875,0.8329
Antoinette Rijpma-de Jong,0.3537,0.0028,0.056
Angel Daleman,0.3412,0.001,0.0417
Marrit Fledderus,0.2653,0.0008,0.0292
Suzanne Schulting,0.1359,0.0002,0.0083
Isabel Grevelt,0.0921,0.0001,0.0025
Naomi Verkerk,0.003,0.0,0.0
Meike Veen,0.0006,0.0,0.0
Chloé Hoogendoorn,0.0013,0.0,0.0
