Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Femke Kok,785,0.785,0.916
Suzanne Schulting,28,0.028,0.377
Jutta Leerdam,10,0.01,0.152
Dione Voskamp,3,0.003,0.09
Marrit Fledderus,0,0.0,0.035
Naomi Verkerk,0,0.0,0.026
Anna Boersma,0,0.0,0.0
Angel Daleman,0,0.0,0.001
Chloé Hoogendoorn,0,0.0,0.003
Michelle de Jong,0,0.0,0.001
Isabel Grevelt,0,0.0,0.0
