Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Joy Beune,0.9971,0.2019,0.8639
Merel Conijn,0.838,0.0864,0.4217
Marijke Groenewoud,0.6945,0.0097,0.1421
Sanne In 't Hof,0.3229,0.0,0.001
Bente Kerkhoff,0.0943,0.0,0.0
Melissa Wijfje,0.0458,0.0,0.0
Elisa Dul,0.0074,0.0,0.0
