Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Joy Beune,1.0,0.3394,0.8655
Merel Conijn,1.0,0.3689,0.6553
Sanne In 't Hof,0.7133,0.0094,0.1269
Bente Kerkhoff,0.0879,0.0,0.0008
Marijke Groenewoud,0.1985,0.0013,0.012
Elisa Dul,0.0003,0.0,0.0
