Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Joy Beune,0.9925,0.3619,0.8661
Merel Conijn,0.8681,0.3204,0.5695
Sanne In 't Hof,0.7595,0.0119,0.148
Bente Kerkhoff,0.1316,0.0001,0.0017
Marijke Groenewoud,0.2478,0.0024,0.0166
Elisa Dul,0.0005,0.0,0.0
