Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Stijn van de Bunt,1.0,0.2577,0.9938
Wisse Slendebroek,0.5239,0.0002,0.0501
Jorrit Bergsma,0.3597,0.0,0.0043
Kars Jansman,0.317,0.0,0.011
Chris Huizinga,0.0825,0.0,0.0001
Remco Stam,0.1822,0.0,0.0027
Beau Snellink,0.134,0.0,0.0016
Daan Gelling,0.1273,0.0,0.0012
Marcel Bosker,0.1643,0.0,0.003
Jasper Krommenhoek,0.0555,0.0,0.0002
Tjerk de Boer,0.0299,0.0,0.0001
Marwin Talsma,0.0237,0.0,0.0
