Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Stijn van de Bunt,274,0.274,0.994
Wisse Slendebroek,1,0.001,0.098
Marcel Bosker,1,0.001,0.029
Jorrit Bergsma,0,0.0,0.008
Kars Jansman,0,0.0,0.025
Chris Huizinga,0,0.0,0.0
Remco Stam,0,0.0,0.019
Beau Snellink,0,0.0,0.01
Daan Gelling,0,0.0,0.008
Jasper Krommenhoek,0,0.0,0.004
Tjerk de Boer,0,0.0,0.001
Marwin Talsma,0,0.0,0.0
