Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Merel Conijn,0.8917,0.1377,0.5578
Marijke Groenewoud,0.7958,0.0261,0.2561
Sanne In 't Hof,0.7607,0.0,0.0053
Bente Kerkhoff,0.3394,0.0,0.0005
Melissa Wijfje,0.1614,0.0,0.0002
Elisa Dul,0.051,0.0,0.0
