Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Merel Conijn,368,0.368,0.635
Joy Beune,338,0.338,0.867
Sanne In 't Hof,14,0.014,0.181
Marijke Groenewoud,3,0.003,0.038
Bente Kerkhoff,1,0.001,0.005
Elisa Dul,0,0.0,0.0
