Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Femke Kok,1.0,0.1876,0.8549
Jutta Leerdam,1.0,0.2279,0.7557
Angel Daleman,0.282,0.0006,0.0253
Antoinette Rijpma-de Jong,0.3145,0.0017,0.0397
Marrit Fledderus,0.2234,0.0006,0.0156
Suzanne Schulting,0.1055,0.0,0.0042
Isabel Grevelt,0.0714,0.0001,0.0027
Naomi Verkerk,0.0017,0.0,0.0
Meike Veen,0.0008,0.0,0.0
Chloé Hoogendoorn,0.0007,0.0,0.0
