Athlete,Qualify_Prob,Win_Prob,Podium_Prob
Femke Kok,1.0,0.8058,0.9398
Suzanne Schulting,0.6171,0.0174,0.2284
Jutta Leerdam,0.4932,0.0033,0.0914
Dione Voskamp,0.3032,0.0009,0.0367
Marrit Fledderus,0.2537,0.0004,0.0178
Naomi Verkerk,0.2314,0.0004,0.0122
Anna Boersma,0.0389,0.0,0.0001
Angel Daleman,0.0355,0.0,0.0
Chloé Hoogendoorn,0.0219,0.0,0.0001
Michelle de Jong,0.0039,0.0,0.0
Isabel Grevelt,0.0012,0.0,0.0
