Athlete,Baseline_Gold_Count,Baseline_Gold_Prob,Baseline_Podium_Prob
Jutta Leerdam,216,0.216,0.746
Femke Kok,164,0.164,0.833
Antoinette Rijpma-de Jong,5,0.005,0.095
Angel Daleman,1,0.001,0.038
Suzanne Schulting,1,0.001,0.021
Marrit Fledderus,0,0.0,0.065
Isabel Grevelt,0,0.0,0.019
Naomi Verkerk,0,0.0,0.0
Meike Veen,0,0.0,0.0
Chloé Hoogendoorn,0,0.0,0.0
