Event,Gender,NED_Gold
Mass Start (Men),Men,0.5035
5000 meter (Men),Men,0.3242
500 meter (Men),Men,0.2505
1000 meter (Men),Men,0.1691
1500 meter (Men),Men,0.0705
10.000 meter (Men),Men,0.0027
500 meter (Women),Women,0.8244
5000 meter (Women),Women,0.7203
1500 meter (Women),Women,0.7179
1000 meter (Women),Women,0.4098
3000 meter (Women),Women,0.3228
Mass Start (Women),Women,0.2436
