Event,Gender,NED_Gold
Mass Start (Men),Men,0.508
5000 meter (Men),Men,0.2694
500 meter (Men),Men,0.233
1000 meter (Men),Men,0.1582
1500 meter (Men),Men,0.0705
10.000 meter (Men),Men,0.0027
500 meter (Women),Women,0.8026
5000 meter (Women),Women,0.7021
1500 meter (Women),Women,0.6695
1000 meter (Women),Women,0.3884
3000 meter (Women),Women,0.3126
Mass Start (Women),Women,0.2211
