Athlete,Country,01.02.2025,05.12.2025,12.12.2025,15.11.2025,16.03.2025,21.02.2025,22.11.2025,24.01.2025,28.02.2025
Lukas Stekly,SVK,,8.384,,,,,6.637999999999991,,
Manuel Robla,ESP,4.74199999999999,4.843999999999994,5.187999999999988,5.272000000000006,,4.786000000000001,,5.242000000000004,4.171999999999997
Marcin Bachanek,POL,,,,,,4.156000000000006,,,
Marten Liiv,EST,,,,2.682000000000002,,,1.7879999999999967,,
Masaya Yamada,JPN,,,,4.622000000000014,,,3.4080000000000013,,
Mateusz Śliwka,POL,,,,,,4.135999999999996,,,
Mathias Vosté,BEL,2.5519999999999925,2.4639999999999986,3.617999999999995,1.9920000000000044,,3.8360000000000127,2.4879999999999853,4.222000000000008,1.342000000000013
Mathieu Belloir,FRA,4.24199999999999,2.8640000000000043,2.828000000000003,3.832000000000008,,4.885999999999996,3.4680000000000035,6.2320000000000135,4.582000000000008
Max Halyk,CAN,5.001999999999981,,,,,,,3.4820000000000135,
Metoděj Jílek,CZE,,1.5840000000000032,0.17799999999999727,2.082000000000008,,,1.5079999999999956,2.2519999999999953,1.2319999999999993
Min-Seok Kim,HUN,-0.04800000000001603,1.9540000000000077,2.687999999999988,0.842000000000013,1.4220000000000113,1.7460000000000093,2.5479999999999876,-0.09799999999999898,0.19200000000000728
Moritz Klein,GER,2.1619999999999777,2.2439999999999998,2.0079999999999956,1.7720000000000056,2.5720000000000027,2.2560000000000002,1.6280000000000001,3.3419999999999987,2.362000000000009
Motonaga Arito,JPN,1.7919999999999732,2.783999999999992,2.667999999999992,1.852000000000018,2.2920000000000016,2.7760000000000105,2.0179999999999865,,2.1520000000000152
Peder Kongshaug,NOR,-0.6780000000000257,0.813999999999993,0.2980000000000018,-0.48799999999998533,-0.2079999999999984,-1.073999999999998,,-0.47799999999999443,-1.0480000000000018
Peter Michael,NZL,,,,4.092000000000013,,,3.667999999999992,,
Prokop Stodola,CZE,,,,8.41200000000002,,,,,
Riccardo Lorello,ITA,2.5219999999999914,,,3.7420000000000044,,3.1359999999999957,3.097999999999999,2.912000000000006,2.0020000000000095
Roman Binozarov,KAZ,,5.313999999999993,4.907999999999987,4.822000000000017,,,3.378,,
Ryan Kulbacki,CAN,,,,,,,2.9579999999999984,,
Ryota Kojima,JPN,,1.6140000000000043,1.1879999999999882,,,2.0260000000000105,,2.372,1.6420000000000101
Sander Eitrem,NOR,-0.02800000000002001,0.6940000000000026,0.10800000000000409,1.5220000000000056,0.902000000000001,0.28600000000000136,1.0579999999999927,0.612000000000009,-0.8479999999999848
Seitaro Ichinohe,JPN,2.231999999999985,,,,,1.9660000000000082,,2.2720000000000056,0.5820000000000078
Seong-Hyeon Park,KOR,4.451999999999984,2.593999999999994,2.2680000000000007,3.122000000000014,,,2.417999999999992,,
Serge Yoro,NED,,,1.7579999999999956,,,,,,
Shoumu Sasaki,JPN,2.461999999999989,,,,,,,2.912000000000006,
Sigurd Holbø Dyrset,NOR,,4.323999999999998,2.9979999999999905,4.062000000000012,,,,,
Stefan Emele,GER,1.4919999999999902,,,,1.6219999999999999,1.706000000000003,,2.612000000000009,0.8520000000000039
Szymon Palka,POL,3.97199999999998,,,,,3.986000000000004,,2.9520000000000124,
Szymon Wojtakowski,POL,,3.6440000000000055,4.387999999999991,2.342000000000013,,4.306000000000012,2.117999999999995,,
Tadeáš Procházka,CZE,,,7.697999999999993,,,,8.397999999999996,,
Taiyo Nonomura,JPN,1.3719999999999857,2.573999999999998,0.48799999999999955,,4.372,1.8960000000000008,1.0179999999999865,1.1420000000000101,0.8220000000000027
Ted-Jan Bloemen,CAN,,,,,,6.156000000000006,,,3.2120000000000175
Tijmen Snel,NED,0.8519999999999754,0.7340000000000089,1.8479999999999848,1.3120000000000118,,3.165999999999997,0.6580000000000013,2.4420000000000073,0.0020000000000095497
Tim Prins,NED,-0.3380000000000223,0.563999999999993,0.3779999999999859,0.5320000000000107,0.3920000000000101,,-0.18200000000000216,0.34199999999999875,-0.6479999999999961
Tyson Langelaar,CAN,,3.804000000000002,,,,,3.5179999999999865,,
Valentin Thiebault,FRA,2.4919999999999902,1.7239999999999895,1.2779999999999916,2.5520000000000067,,3.656000000000006,0.5079999999999956,3.2320000000000135,2.7720000000000056
Viktor Hald Thorup,DEN,,,,5.9820000000000135,,,2.6979999999999933,,
Viktor Rudenko,BLR,,,1.9279999999999973,3.042000000000016,,,4.427999999999997,,
Vladimir Semirunniy,POL,,1.4540000000000077,0.907999999999987,2.602000000000018,,1.5360000000000014,0.6679999999999922,,0.23199999999999932
Wei-Lin Tai,TPE,,,,4.082000000000008,,,4.057999999999993,4.922000000000011,
Wenhao Li,CHN,,3.2040000000000077,1.108000000000004,2.7820000000000107,,,1.2379999999999853,,
Wesly Dijs,NED,0.44199999999997885,1.6039999999999992,1.2379999999999995,1.2720000000000056,0.9419999999999931,1.5660000000000025,0.8179999999999978,1.4120000000000061,0.17199999999999704
Xianghe Quan,CHN,3.8719999999999857,,,,,,,,
Yerhanati Ayitinama,CHN,,,6.977999999999994,,,,,,
Yu Wu,CHN,,,,,,,,,1.6420000000000101
Zhongyan Ning,CHN,,-0.3859999999999957,-0.3020000000000067,-0.8079999999999785,0.02200000000000557,-0.09399999999999409,0.057999999999992724,-0.48799999999998533,-0.6779999999999973
