Athlete,Country,01.03.2025,13.03.2025,13.12.2025,14.11.2025,21.11.2025,22.02.2025,26.12.2025,31.01.2025
Sander Eitrem,NOR,-3.084000000000003,-2.6340000000000146,0.6960000000000264,-0.5919999999999845,-2.302000000000021,-1.5199999999999818,,-3.065999999999974
Seitaro Ichinohe,JPN,5.805999999999983,,,,,10.810000000000002,,17.47399999999999
Seung-Hoon Lee,KOR,14.065999999999974,,,,,13.310000000000002,,
Seung-Min Jo,KOR,,,,20.057999999999993,18.617999999999938,,,
Severin Widmer,SUI,,,21.846000000000004,24.51800000000003,20.19799999999998,27.78000000000003,,
Shoumu Sasaki,JPN,11.435999999999979,,9.036000000000001,4.858000000000004,17.127999999999986,18.78000000000003,,11.134000000000015
Sigurd Henriksen,NOR,12.805999999999983,18.036,3.4960000000000377,8.548000000000002,11.42799999999994,13.430000000000007,,5.76400000000001
Sigurd Holbø Dyrset,NOR,,,17.726,19.198000000000036,26.017999999999972,,,
Stijn van de Bunt,NED,,,,,,,-3.684000000000026,
Szymon Palka,POL,,,11.01600000000002,19.22800000000001,17.307999999999993,10.470000000000027,,8.354000000000042
Tadeáš Procházka,CZE,,,36.96600000000001,38.49800000000005,41.73799999999994,,,
Taiyo Morino,JPN,12.135999999999967,,17.966000000000008,23.117999999999995,15.537999999999954,14.050000000000011,,13.213999999999999
Ted-Jan Bloemen,CAN,1.1659999999999968,3.585999999999956,1.5360000000000014,6.018000000000029,-1.9020000000000437,8.360000000000014,,0.8439999999999941
Thibault Métraux,SUI,11.255999999999972,,39.06600000000003,6.168000000000006,11.737999999999943,16.5,,10.843999999999994
Thijs Wiersma,NED,,,,,,,14.825999999999965,
Timothy Loubineaud,FRA,1.6759999999999877,5.545999999999992,-0.5039999999999623,-3.741999999999962,-1.6920000000000073,1.5600000000000023,,1.8040000000000305
Tjerk de Boer,NED,,,,,,6.990000000000009,7.065999999999974,
Vadim Yakubovskiy,KAZ,,,,23.298000000000002,,,,
Viktor Hald Thorup,DEN,12.765999999999963,,1.5260000000000105,11.838000000000022,9.267999999999972,16.970000000000027,,
Vitaliy Chshigolev,KAZ,,,25.186000000000035,,,,,
Vladimir Semirunniy,POL,0.20599999999996044,0.2659999999999627,0.7660000000000196,13.578000000000031,5.017999999999972,-0.2400000000000091,,
Wenhao Li,CHN,,,12.636000000000024,9.898000000000025,9.637999999999977,,,
William Silk,USA,,,,33.59800000000001,,,,
Wisse Slendebroek,NED,,,,,,,5.975999999999942,
Wojciech Gutowski,POL,,,22.196000000000026,26.408000000000015,21.237999999999943,,,
Yahor Damaratski,BLR,,,17.646000000000015,16.408000000000015,13.057999999999993,,,
Yu Wu,CHN,11.745999999999981,16.94599999999997,9.336000000000013,19.677999999999997,10.937999999999988,12.680000000000007,,11.604000000000042
Zhenlong Cong,CHN,17.536,,18.966000000000008,11.27800000000002,10.257999999999981,15.509999999999991,,17.01400000000001
