Athlete,Country,01.03.2025,05.12.2025,13.12.2025,14.11.2025,15.03.2025,21.11.2025,22.02.2025,24.01.2025,31.01.2025
Marte Bjerkreim Furnée,NOR,,,,5.706000000000003,,6.308000000000007,,,
Martyna Baran,POL,3.837999999999994,,,,,,,,
Mathilde Pédronno,FRA,,4.979999999999976,5.055999999999997,6.0260000000000105,,5.168000000000006,,,
Maybritt Vigl,ITA,,3.059999999999988,3.7759999999999962,2.7460000000000093,,2.5080000000000098,,,
Mei Han,CHN,-0.7920000000000158,0.6899999999999835,0.43599999999999284,,0.333999999999989,1.058000000000007,-0.01999999999999602,-0.1280000000000001,
Meike Veen,NED,,,1.5159999999999911,,,,,,
Meng Xu,CHN,3.2679999999999865,,,,,,3.7900000000000063,4.602000000000004,2.5279999999999916
Mia Manganello,USA,2.417999999999992,2.9299999999999784,2.2860000000000014,2.696000000000012,,3.298000000000002,2.980000000000004,2.9920000000000044,2.2079999999999984
Mihaela Hogas,ROU,,,,4.206000000000003,,3.778000000000006,,3.412000000000006,
Miho Takagi,JPN,-1.102000000000018,-0.5200000000000244,-1.2540000000000049,,-0.4060000000000059,0.17799999999999727,-1.5300000000000011,-0.6080000000000041,-1.1820000000000022
Min-Jee Kim,KOR,,,,,,,,3.0520000000000067,
Min-Seon Kim,KOR,0.8079999999999927,1.059999999999988,0.9259999999999877,1.3260000000000076,0.9539999999999935,0.5580000000000069,1.7099999999999937,1.5819999999999936,
Na-Hyeon Lee,KOR,1.7879999999999825,0.46999999999998465,0.3459999999999894,0.5860000000000127,1.6639999999999873,0.7079999999999984,1.6899999999999977,1.3520000000000039,
Nadezhda Morozova,KAZ,1.427999999999983,1.2199999999999847,0.5459999999999923,0.18600000000000705,3.1839999999999975,,1.6400000000000006,3.0120000000000005,
Naomi Verkerk,NED,,,,,,,1.2800000000000011,,
Natalia Czerwonka,POL,,1.34999999999998,1.5360000000000014,1.906000000000006,,1.6380000000000052,,,
Natalia Jabrzyk,POL,0.1279999999999859,3.1499999999999915,2.7759999999999962,2.7660000000000053,0.9839999999999947,2.7180000000000035,1.1899999999999977,1.3220000000000027,0.6079999999999899
Nikola Zdráhalova,CZE,-0.16200000000000614,0.819999999999979,0.48599999999999,1.4260000000000161,0.9339999999999975,1.2780000000000058,0.730000000000004,1.5520000000000067,0.21800000000000352
Qi Yin,CHN,0.14799999999998192,1.079999999999984,0.7059999999999889,0.7860000000000156,0.6339999999999861,0.38800000000000523,0.269999999999996,0.3020000000000067,
Ramona Härdi,SUI,,,5.73599999999999,,,,,,
Rin Kosaka,JPN,2.147999999999982,,,,,,1.9399999999999977,2.0720000000000027,2.2379999999999995
Rio Yamada,JPN,0.09799999999998477,0.3999999999999915,0.3959999999999866,-0.04399999999999693,0.4539999999999935,0.3580000000000041,0.0,1.4720000000000084,
