Athlete,Country,01.02.2025,06.12.2025,12.12.2025,15.11.2025,16.03.2025,21.02.2025,22.11.2025,25.01.2025,28.02.2025,29.12.2025
Marija Degen,KAZ,,,,,,,,8.519999999999996,,
Marijke Groenewoud,NED,-0.14400000000000546,0.02199999999997715,,3.554000000000002,0.657999999999987,-2.078000000000003,1.1019999999999897,5.639999999999986,-0.5819999999999936,-0.28400000000002024
Marlen Ehseluns,GER,1.3359999999999843,7.891999999999982,3.4839999999999804,5.924000000000007,5.438000000000002,6.2819999999999965,,5.289999999999992,3.368000000000009,
Marte Bjerkreim Furnée,NOR,,,5.473999999999975,,,,,,,
Martina Sáblíková,CZE,1.0159999999999911,,2.0039999999999765,2.6140000000000043,,2.0420000000000016,,2.4099999999999966,0.7380000000000138,
Mei Han,CHN,,-0.20800000000002683,1.4739999999999753,2.1540000000000106,-0.07200000000000273,-1.1880000000000024,0.6019999999999897,0.9099999999999966,-1.6119999999999806,
Meike Veen,NED,,,1.4739999999999753,,,4.471999999999994,,,,2.3359999999999843
Melissa Wijfje,NED,0.8559999999999945,0.6419999999999817,0.8139999999999787,0.5440000000000111,,1.0019999999999953,1.0619999999999976,3.259999999999991,1.1280000000000001,3.545999999999978
Mette ten Cate,NED,,,,,,,,,,7.425999999999988
Mia Manganello,USA,3.1359999999999957,6.401999999999987,4.473999999999975,,6.518000000000001,1.671999999999997,,3.469999999999999,2.528000000000006,
Miho Takagi,JPN,-2.0740000000000123,-0.6380000000000194,-1.126000000000019,0.7140000000000128,0.10800000000000409,-1.2480000000000047,-0.40800000000000125,-1.240000000000009,-2.1419999999999817,
Momoka Horikawa,JPN,1.9359999999999928,3.4119999999999777,,3.314000000000007,4.878,1.4320000000000022,5.872,2.6500000000000057,0.15800000000000125,
Nadezhda Morozova,KAZ,,-0.47800000000002285,-1.096000000000032,-0.08599999999998431,,,2.221999999999994,2.4199999999999875,1.4480000000000075,
Natalia Czerwonka,POL,,1.8219999999999743,2.7439999999999714,,,,1.8619999999999948,,,
Natalia Jabrzyk,POL,1.7959999999999923,,,4.464000000000013,2.127999999999986,0.26199999999998624,4.641999999999982,2.6599999999999966,1.2380000000000138,
Natascha Lindenskov,DEN,,11.441999999999979,9.393999999999977,9.90400000000001,,,10.771999999999991,,,
Nikola Zdráhalova,CZE,-0.3640000000000043,-0.2580000000000098,-0.2860000000000298,1.3840000000000146,0.38800000000000523,0.7120000000000033,0.7719999999999914,1.6999999999999886,-0.701999999999984,
Olga Piotrowska,POL,7.205999999999989,,,,,9.221999999999994,,,5.238000000000014,
Pien Smit,NED,,,,,,,,,,3.225999999999985
Qi Yin,CHN,,3.5619999999999834,1.8339999999999748,1.8840000000000146,1.8979999999999961,0.6119999999999948,2.5519999999999925,1.8299999999999983,-0.8219999999999885,
Ragne Wiklund,NOR,-1.0840000000000032,-0.4180000000000206,-0.896000000000015,0.22400000000001796,0.6680000000000064,-0.5280000000000058,0.45199999999998397,1.3799999999999955,-0.0519999999999925,
Ramona Härdi,SUI,5.506,6.321999999999974,5.053999999999974,5.604000000000013,,5.211999999999989,6.441999999999993,6.719999999999999,7.268000000000015,
Rin Kosaka,JPN,3.3160000000000025,,,,,3.0420000000000016,,,2.6980000000000075,
Rio Yamada,JPN,,,,,,,2.6019999999999897,3.5799999999999983,,
Rosalie van Vliet,NED,,,,,,,,,,6.785999999999987
Sandrine Tas,BEL,3.765999999999991,2.401999999999987,3.403999999999968,4.3840000000000146,,3.5219999999999914,,5.439999999999998,4.328000000000003,
Sanne Westra,NED,,,,,,,,,,6.665999999999983
Sarah Warren,USA,7.455999999999989,,,8.054000000000002,,,,,,
Sofia Thorup,DEN,,2.8619999999999806,2.103999999999985,2.794000000000011,5.637999999999991,3.5120000000000005,2.721999999999994,3.0799999999999983,3.6980000000000075,
Sofie Adeberg,GER,,,,,,,7.152000000000001,,,
Soo-Min Kang,KOR,,3.421999999999983,3.883999999999986,3.9540000000000077,,,5.911999999999992,3.1399999999999864,2.1380000000000194,
Sophie Exterkate,NED,,,,,,,,,,8.785999999999987
Sumire Kikuchi,JPN,,,4.683999999999983,,,,,,,
Valerie Maltais,CAN,1.4259999999999877,1.231999999999971,0.1939999999999884,2.4939999999999998,2.567999999999998,-0.17800000000001148,0.4719999999999942,1.6299999999999955,-0.5419999999999874,
Vanessa Herzog,AUT,,,,,,,3.471999999999994,,,
Veronica Luciani,ITA,6.125999999999991,,,,,,,6.159999999999997,,
Violette Braun,FRA,,6.401999999999987,4.573999999999984,5.304000000000002,,,5.441999999999993,,,
Wenjing Jin,CHN,3.435999999999993,,,,,,,,3.6780000000000115,
Xiangyu Chen,CHN,6.256,,,,,,,9.519999999999996,,
Yoon-Jee Kim,KOR,,,,,,,,5.789999999999992,,
Yuna Onodera,JPN,4.835999999999984,,,,,5.891999999999996,,4.6699999999999875,6.188000000000002,
Zofia Braun,POL,,2.0819999999999794,,5.924000000000007,,4.682000000000002,,,7.128000000000014,
Zuzana Kursova,CZE,,,,,,,14.591999999999999,,,
