Athlete,Country,Races,Shifted_Mean,Shape,Shift_Used,Profile_Type,Scale
Joy Beune,NED,2,4.343999999999999,0.31569946943529403,6.526000000000044,Synthetic,4.132830424840551
Merel Conijn,NED,3,5.961333333333353,0.7268904624203695,6.526000000000044,Actual,4.577299967429636
Ragne Wiklund,NOR,3,6.951333333333342,0.40790115887079736,6.526000000000044,Actual,6.396441435323064
Isabelle Weidemann,CAN,3,7.558000000000007,0.06675023915640452,6.526000000000044,Actual,7.541181050219601
Francesca Lollobrigida,ITA,3,7.631333333333349,0.525237024074684,6.526000000000044,Actual,6.648063525570755
Sanne In 't Hof,NED,2,8.234000000000014,0.31569946943529403,6.526000000000044,Synthetic,7.833730598097873
Martina Sáblíková,CZE,3,8.938000000000002,0.5931702728446098,6.526000000000044,Actual,7.496126078397127
Marina Zueva,BLR,1,10.217999999999995,0.31569946943529403,6.526000000000044,Synthetic,9.721284825281016
Binyu Yang,CHN,2,13.033999999999997,0.31569946943529403,6.526000000000044,Synthetic,12.400394050960346
Bente Kerkhoff,NED,1,13.928000000000031,0.31569946943529403,6.526000000000044,Synthetic,13.250935119056017
Sandrine Tas,BEL,3,14.168000000000022,0.3031491019196312,6.526000000000044,Actual,13.531715297356964
Maira Jasch,GER,2,14.184000000000005,0.31569946943529403,6.526000000000044,Synthetic,13.494490503208656
Marijke Groenewoud,NED,3,14.498000000000024,0.5119925464121297,6.526000000000044,Actual,12.717036167826247
Linda Rossi,ITA,1,14.907999999999992,0.31569946943529403,6.526000000000044,Synthetic,14.183295574015405
Josie Hofmann,GER,3,15.811333333333359,0.16138031760409635,6.526000000000044,Actual,15.606776001502876
Zhien Tai,CHN,3,17.188000000000002,0.058318188300232124,6.526000000000044,Actual,17.158796548074868
Valerie Maltais,CAN,2,17.774000000000008,0.31569946943529403,6.526000000000044,Synthetic,16.909974210662067
Greta Myers,USA,2,17.944000000000024,0.31569946943529403,6.526000000000044,Synthetic,17.07171020795096
Nadezhda Morozova,KAZ,1,19.548000000000037,0.31569946943529403,6.526000000000044,Synthetic,18.597736911782523
Yuuka Takahashi,JPN,1,19.750000000000036,0.31569946943529403,6.526000000000044,Synthetic,18.78991733209048
Nikola Zdráhalova,CZE,1,19.929999999999986,0.31569946943529403,6.526000000000044,Synthetic,18.961167211572775
Violette Braun,FRA,2,21.184000000000005,0.31569946943529403,6.526000000000044,Synthetic,20.154208038633122
Laura Hall,CAN,3,21.194666666666702,0.12500232318507284,6.526000000000044,Actual,21.02972235506337
Ahenaer Adake,CHN,3,21.918000000000024,0.13131560126711575,6.526000000000044,Actual,21.729837660226515
Ivanie Blondin,CAN,2,22.529000000000003,0.31569946943529403,6.526000000000044,Synthetic,21.43382519365396
Giorgia Birkeland,USA,1,22.80800000000003,0.31569946943529403,6.526000000000044,Synthetic,21.699262506851618
Rose-Anne Grenier,CAN,1,22.82000000000003,0.31569946943529403,6.526000000000044,Synthetic,21.71067916548377
Momoka Horikawa,JPN,3,22.99800000000003,0.17728639716838526,6.526000000000044,Actual,22.639406137519114
Jeannine Rosner,AUT,1,23.388000000000012,0.31569946943529403,6.526000000000044,Synthetic,22.251067674072488
Alice Marletti,ITA,1,23.489999999999988,0.31569946943529403,6.526000000000044,Synthetic,22.348109272445793
Ji-Woo Park,KOR,1,24.60800000000004,0.31569946943529403,6.526000000000044,Synthetic,23.41176130167506
Josephine Schlörb,GER,2,25.913999999999994,0.31569946943529403,6.526000000000044,Synthetic,24.654274316141354
Zofia Braun,POL,1,26.388000000000012,0.31569946943529403,6.526000000000044,Synthetic,25.10523233211154
